SBTR	2024년에 생긴 동력분산식 차세대 고속열차의 이름은?	KTX-청룡	KTX-Cheongryong	청룡,케이티엑스 청룡	Cheongryong	3
SBTR	경의중앙선, 공항철도 등이 만나는 마포구의 환승역은?	공덕역	Gongdeok Station	공덕	Gongdeok	2
SBTR	SRT 수서~지제 구간을 지나는 국내 최장 철도 터널은?	율현터널	Yulhyeon Tunnel	율현 터널	Yulhyeon	3
SBTR	국내에서 가장 깊은 곳에 위치한 서해선의 지하철역은?	김포공항역	Gimpo International Airport Station	김포공항	Gimpo airport	3
SBTR	수인선과 분당선이 직결되어 만들어진 노선의 이름은?	수인분당선	Suin-Bundang Line	수인 분당선, 퍼리분탕선	Suin Bundang	2
SBTR	지하철 내, 비상시 문을 수동으로 열 수 있는 장치는?	비상개폐장치	Emergency door release	비상도어,비상개폐기	emergency release	2
SBTR	기관차 하나가 전체 열차를 끌고 가는 방식의 구조는?	동력집중식	Push-pull	동력집중	locomotive hauled	3
SBTR	2000년까지 존재했던 가장 느린 완행열차의 이름은?	비둘기호	Bidulgi-ho	비둘기	Bidulgi	3
SBTR	서울 2호선에서 신설동역에 정차하는 지선의 이름은?	성수지선	Seongsu Branch Line	성수 지선	Seongsu branch	2
SBTR	전동차 지붕에 있는 전차선에서 전기를 받는 장치는?	팬터그래프	Pantograph	판타그래프,집전장치	pantograph	2
SBTR	최고 시속 260km의 친환경 동력분산식 고속열차는?	KTX-이음	KTX-Eum	이음,케이티엑스 이음,KTX이음	Eum	2
SBTR	운행을 마친 철도 차량을 주차하고 정비하는 장소는?	차량기지	Depot	차량사업소,기지	train depot	2
SBTR	하나의 구간에 하나의 열차만 진입하게 하는 방식은?	폐색	Block	폐색구간	block system	3
SBTR	여의도와 강남을 잇는 황금 노선이라 불리는 호선은?	9호선	Line 9	구호선	9,line 9	1
SBTR	KTX 호남고속선의 분기역으로 욕을 먹고 있는 역은?	오송역	Osong Station	오송, ㅇㅅ, ㅇㅅㅇ	Osong	1
SBTR	동해선 광역전철의 북쪽 종점인, 울산에 있는 역은?	태화강역	Taehwagang Station	태화강	Taehwagang	3
SBTR	부산 지하철 3/4호선이 만나는 동래구의 환승역은?	미남역	Minam Station	미남	Minam	3
SBTR	서울 8호선 종점 모란역 이후에 위치한 차량기지는?	모란차량기지	Moran Depot	모란기지,모란 차량사업소	Moran yard	3
SBTR	호남선과 전라선이 갈라지는 전북의 철도 분기역은?	익산역	Iksan Station	익산	Iksan	3
