거지 키우기	거지키우기	PHRASE	2	0	가상 세계에서 무일푼의 캐릭터를 조작하여 돈을 벌고, 능력을 키우며, 사회적 지위를 획득해 나가는 시뮬레이션 게임. 방치형 요소가 포함되어 있어 꾸준한 성장이 가능하다.
건즈	건즈	NOUN	1	0	온라인 3인칭 슈팅 게임. 'K-style'이라는 독특한 조작 방식으로 유명하며, 화려한 액션과 빠른 템포의 대전이 특징이다.
검은사막	검은사막	NOUN	0	0	펄어비스에서 개발한 MMORPG. 뛰어난 그래픽과 액션성을 특징으로 하며, 넓은 오픈 월드에서 다양한 직업과 생활 콘텐츠를 즐길 수 있는 온라인 게임.
검은 신화: 오공	검은신화오공	PHRASE	0	0	중국 게임 개발사 '게임사이언스'에서 개발 중인 액션 어드벤처 게임. 손오공을 주인공으로 하여, 뛰어난 그래픽과 호쾌한 액션, 그리고 다크 판타지 풍의 분위기를 특징으로 한다. 서유기를 재해석한 스토리와 다양한 보스 몬스터와의 전투가 기대되는 작품이다.
겟앰프드	겟앰프드	NOUN	1	0	㈜준인터에서 개발 및 배급하는 대전 액션 게임. 다양한 캐릭터와 액세서리를 조합하여 개성 넘치는 격투 스타일을 연출할 수 있으며, 온라인을 통해 다른 사용자와 실력을 겨룰 수 있다. 2002년에 출시되어 오랜 기간 동안 서비스되고 있다.
그노시아	그노시아	NOUN	1	0	표류하는 우주선을 배경으로 집단 속에 숨어든 인류의 적 ‘그노시아’를 찾아내는 SF 세계관의 마피아 게임 기반 어드벤처 게임. 플레이어는 루프를 반복하며 등장인물들의 정보를 수집하고 정체를 밝혀내어 이야기의 진실에 도달해야 한다.
그랜드체이스	그랜드체이스	NOUN	1	0	온라인 액션 대전 게임. 다양한 영웅들을 선택하여 팀을 구성, 던전을 탐험하거나 다른 플레이어와 전투를 벌이는 방식이다. 간단한 조작과 화려한 액션이 특징이며, 개성 넘치는 캐릭터와 스토리가 인기를 끌었다. 후속작으로 모바일 게임도 출시되었다.
그랜드 테프트 오토	그랜드테프트오토	PHRASE	1	0	락스타 게임즈에서 제작한 오픈 월드 액션 어드벤처 게임 시리즈. 범죄, 폭력, 자유로운 게임 플레이가 특징이며, 다양한 도시를 배경으로 주인공이 범죄 세계에서 성공하는 이야기를 다룬다. 논란과 함께 높은 인기를 누리고 있다.
기타도라	기타도라	NOUN	1	0	코나미에서 제작한 리듬 게임 시리즈. 드럼과 기타 연주를 모의 체험할 수 있는 것이 특징이며, 아케이드 게임으로 처음 등장했다.
길티기어	길티기어	NOUN	1	0	2D 격투 게임 시리즈. 호쾌한 타격감과 빠른 템포, 록 음악 사운드트랙이 특징. 개성 강한 캐릭터들과 복잡한 세계관 설정을 가지고 있으며, '길티기어'라는 이름으로 다양한 작품이 출시되었다.
