좀비고등학교	좀비고등학교	NOUN	1	0	모바일 플랫폼에서 즐길 수 있는, 좀비를 소재로 한 액션 어드벤처 게임. 독특한 캐릭터와 스토리를 바탕으로, 학교라는 배경에서 다양한 무기를 사용하여 몰려오는 좀비들을 막아내는 것이 특징이다.
주 타이쿤	주타이쿤	PHRASE	1	0	동물을 키우고 관리하며 동물원을 건설하는 시뮬레이션 비디오 게임. 다양한 동물, 시설, 직원을 고용하여 방문객을 유치하고 수익을 창출하는 것이 목표이다.
지뢰찾기	지뢰찾기	NOUN	0	0	컴퓨터 운영체제에 기본적으로 내장된 퍼즐 게임의 일종. 정사각형 격자판 안에 숨겨진 폭탄을 피해서 모든 안전한 칸을 드러내는 것이 목표이다. 숫자는 주변 칸에 있는 폭탄의 개수를 나타내며, 논리적 추론과 약간의 운을 필요로 한다.
지오메트리 대시	지오메트리대시	PHRASE	1	0	리듬 기반의 플랫폼 게임. 네온 스타일의 그래픽과 중독성 있는 게임 플레이가 특징이며, 간단한 조작으로 다양한 레벨을 클리어하는 재미를 제공한다. 사용자가 직접 레벨을 제작하고 공유할 수 있어 무한한 콘텐츠를 즐길 수 있다.
철권	철권	NOUN	0	0	1994년 오락실에서 시작된 3D 격투 게임. 다양한 캐릭터들이 등장하여 권법, 태권도, 가라테 등 여러 무술을 사용하여 싸우는 것이 특징이다. 화려한 기술과 연속 콤보 시스템으로 인기를 얻었으며, 콘솔 게임, PC 게임 등 다양한 플랫폼으로 출시되었다.
친구모아	친구모아	NOUN	0	0	닌텐도에서 개발한 커뮤니케이션 게임 시리즈로, 플레이어의 아바타인 'Mii'들이 가상의 섬에서 서로 교류하고 연애하며 일상을 보내는 과정을 관찰하고 지원하는 육성 시뮬레이션 게임.
카운터-스트라이크	카운터스트라이크	NOUN	1	0	1인칭 슈팅 게임의 일종. 테러리스트와 대테러 부대 간의 대결을 다루며, 폭탄 설치 및 해체, 인질 구출 등의 목표를 수행한다. 뛰어난 전략성과 팀워크를 요구하며, 전 세계적으로 많은 이용자를 보유하고 있다.
카트라이더	카트라이더	NOUN	1	0	넥슨에서 개발 및 배급하는 온라인 레이싱 게임. 다양한 카트와 트랙에서 드리프트 기술을 사용하여 순위를 경쟁하며, 쉬운 조작과 아기자기한 캐릭터로 폭넓은 연령층에게 인기를 얻었다.
캐치마인드	캐치마인드	NOUN	1	0	여러 사람이 함께 즐기는 온라인 그림 퀴즈 게임. 한 사람이 제시된 단어를 그림으로 표현하면, 다른 사람들이 그 그림을 보고 어떤 단어인지 맞히는 방식으로 진행된다. 빠르고 창의적인 그림 실력과 재치 있는 추리력이 요구된다.
커맨드 앤 컨커	커맨드앤컨커	PHRASE	1	0	실시간 전략 시뮬레이션 게임 중 하나로, 자원 채취, 기지 건설, 유닛 생산을 통해 적을 섬멸하는 방식을 특징으로 한다. 현대전을 배경으로 한 다양한 진영과 미래적인 기술 요소, 그리고 흥미진진한 스토리텔링으로 큰 인기를 얻었다.
커벌 스페이스 프로그램	커벌스페이스프로그램	PHRASE	1	0	우주선 및 기지 건설 시뮬레이션 게임. 플레이어는 다양한 부품을 조립하여 로켓, 비행기, 탐사차 등을 만들고, 케르빈 행성계의 다양한 천체를 탐험한다. 현실적인 물리 법칙이 적용되어 발사, 궤도 진입, 착륙 등의 과정에서 시행착오를 겪으며 우주 공학적 지식을 습득할 수 있다. 창의적인 설계와 문제 해결 능력이 요구되는 샌드박스형 게임이다.
컨커러스 블레이드	컨커러스블레이드	PHRASE	1	0	중세 시대 전쟁을 배경으로 한 대규모 멀티플레이어 온라인 게임. 플레이어는 장군이 되어 부대를 지휘하며, 영토를 확장하고 다른 플레이어와 전투를 벌인다. 전략적인 요소와 액션이 결합된 게임플레이가 특징이다.
컬트 오브 더 램	컬트오브더램	PHRASE	1	0	귀여운 동물 캐릭터와 다크 판타지 요소를 결합한 액션 어드벤처 게임. 플레이어는 신도를 모아 자신만의 컬트를 건설하고, 다양한 지역을 탐험하며 이단자들을 처단해야 한다. 독특한 아트 스타일과 중독성 있는 게임플레이가 특징이다.
컵헤드	컵헤드	NOUN	1	0	캐나다의 스튜디오 MDHR이 개발하여 2017년에 출시한 런 앤 건 장르의 액션 게임. 1930년대 황금기 미국 애니메이션 스타일을 재현한 수작업 애니메이션과 높은 난이도의 보스전이 특징이다.
코어 키퍼	코어키퍼	PHRASE	1	0	지하 세계를 탐험하고 자원을 채집하며 기지를 건설하는 샌드박스 어드벤처 게임. 1인칭 또는 3인칭 시점으로 진행되며, 다양한 생물과 싸우고, 고대 유물을 발견하며, 핵심 동력을 되살리는 것을 목표로 한다. 싱글 플레이 및 멀티 플레이를 지원한다.
