CHTR	손난로에서 일어나는 반응은?	발열 반응	Exothermic reaction	발열반응,발열	exothermic,exothermic reaction	1
CHTR	베이킹 소다의 주 성분은?	탄산수소나트륨	Sodium bicarbonate	중탄산나트륨,중탄산 나트륨	sodium hydrogen carbonate,baking soda	1
CHTR	콜라는 산성일까, 염기성일까?	산성	Acidic	산	acid	1
CHTR	물의 화학식은?	H2O	H2O	일산화이수소,H₂O	H2O	1
CHTR	이산화 탄소의 화학식은?	CO2	CO2	이산화탄소,CO₂	CO2	1
CHTR	다이아몬드와 연필심(흑연)을 이루는 공통 원소는?	탄소	Carbon	C	C	1
CHTR	공기 중에 가장 많이 존재하는 기체는?	질소	Nitrogen	N2,N₂	N2,nitrogen gas	1
CHTR	사람이 숨을 쉴 때 필수적인 기체는?	산소	Oxygen	O2,O₂	O2,oxygen gas	1
CHTR	철이 녹스는 현상은 어떤 원소 때문일까?	산소	Oxygen	O	O	1
CHTR	소금의 주성분인 화학 물질의 이름은?	염화나트륨	Sodium chloride	염화 나트륨,식염	NaCl,salt	1
CHTR	산소와 수소가 반응하여 생성되는 물질은?	물	Water	수증기,H2O	H2O	1
CHTR	식물이 광합성을 할 때 흡수하는 기체는?	이산화 탄소	Carbon dioxide	이산화탄소,탄산 가스,탄산가스	CO2	1
CHTR	레몬이나 식초에서 신맛이 나는 이유는 어떤 성질 때문일까?	산성	Acidic	산	acid	1
CHTR	비눗물은 산성일까, 염기성일까?	염기성	Basic	알칼리성,염기	alkaline,base	1
CHTR	원자를 구성하는 입자 중 음(-)전하를 띠는 것은?	전자	Electron	외각전자	electron	1
CHTR	원자의 중심에 위치하며 양성자와 중성자로 이루어진 것은?	원자핵	Atomic nucleus	핵	nucleus	1
CHTR	원자 번호 1번인 원소는?	수소	Hydrogen	H	H	1
CHTR	과자 봉지에 충전하는 기체는?	질소	Nitrogen	질소기체,질소 가스	N2,nitrogen	1
CHTR	뼈와 치아의 주성분을 이루는 금속 원소는?	칼슘	Calcium	Ca	Ca	1
CHTR	광고용 네온사인에 사용되는 비활성 기체는?	네온	Neon	Ne	Ne	1
CHTR	실온에서 액체 상태로 존재하는 유일한 금속은?	수은	Mercury	Hg	Hg	1
CHTR	드라이아이스는 어떤 기체가 고체로 변한 것일까?	이산화 탄소	Carbon dioxide	이산화탄소	CO2	1
CHTR	고체가 액체를 거치지 않고 바로 기체로 변하는 현상을 무엇이라 하는가?	승화	Sublimation	승화 현상	sublimation	1
CHTR	물이 끓어 수증기로 변하는 현상을 무엇이라 하는가?	기화	Vaporization	기화 현상,증발	vaporization,evaporation,boiling	1
CHTR	물이 얼어 얼음이 되는 현상을 무엇이라 하는가?	응고	Freezing	응고 현상, 결빙	freezing,solidification	1
CHTR	술이나 소독제에 사용되는 알코올의 종류는?	에탄올	Ethanol	에틸알코올,에틸 알코올	ethanol,ethyl alcohol	1
CHTR	휴대용 버너에 사용되는 가스의 주성분은?	뷰테인	Butane	부탄	butane	1
CHTR	식초의 신맛을 내는 주요 산성 성분은?	아세트산	Acetic acid	초산	acetic acid,ethanoic acid	1
CHTR	우리 위 속에서 분비되는 강산은?	염산	Hydrochloric acid	위산,HCl	HCl,hydrochloric acid	1
CHTR	물질이 산소와 빠르게 결합하며 빛과 열을 내는 현상은?	연소	Combustion	연소 반응,타는 현상	combustion,burning	1
CHTR	지구를 자외선으로부터 보호하는 층은?	오존층	Ozone layer	오존 층	ozone layer	1
CHTR	수영장이나 수돗물 소독에 주로 사용되는 원소는?	클로린	Chlorine	Cl,염소	Cl,chlorine	1
CHTR	충치를 예방하기 위해 치약에 넣는 원소는?	플루오린	Fluorine	불소,F	F,fluorine	1
CHTR	황동, 청동의 주성분이 되는 금속 원소는?	구리	Copper	Cu	Cu,copper	1
CHTR	캔의 주성분인 가볍고 은백색을 띠는 금속 원소는?	알루미늄	Aluminum	Al	Al,aluminum	1
CHTR	스마트폰 배터리에 자주 쓰이는 원소는?	리튬	Lithium	Li	Li,lithium	1
CHTR	가장 가벼운 원소는?	수소	Hydrogen	H	H	2
CHTR	산성과 염기성의 세기를 나타내는 것은?	pH	pH	피에이치,수소이온농도	pH	2
CHTR	리트머스 종이를 푸르게 변화시키는 물질의 성질은?	염기성	Basic	알칼리성,염기	alkaline,base	2
CHTR	리트머스 종이를 붉게 변화시키는 물질의 성질은?	산성	Acidic	산	acid	2
CHTR	주기율표를 처음으로 제안한 러시아의 화학자는?	멘델레예프	Mendeleev	드미트리 멘델레예프	Dmitri Mendeleev	2
CHTR	원자 번호 2번인 원소는?	헬륨	Helium	He	He	2
CHTR	우주에서 가장 흔하게 존재하는 원소는?	수소	Hydrogen	H	H	2
CHTR	혈액의 헤모글로빈에 포함된 금속 원소는?	철	Iron	Fe	Fe	2
