DAJK	가장 빨리 먹는 떡은?	헐레벌떡	NULL	NULL	NULL	1
DAJK	감이 젖으면?	물감	NULL	NULL	NULL	2
DAJK	고기 먹을 때 따라오는 개는?	이쑤시개	NULL	NULL	NULL	1
DAJK	세상에서 가장 빠른 개는?	번개	NULL	NULL	NULL	1
DAJK	과일 중에서 가장 뜨거운 과일은?	천도복숭아	NULL	NULL	NULL	2
DAJK	소가 돈이 없으면?	우거지	NULL	NULL	NULL	2
DAJK	물고기의 반대말은?	불고기	NULL	NULL	NULL	1
DAJK	고구마가 군대에 가면?	군고구마	NULL	NULL	NULL	1
DAJK	친구랑 어올리지 못하는 만두는?	찐만두	NULL	NULL	NULL	2
DAJK	미소의 반댓말은?	당기소	NULL	NULL	NULL	2
DAJK	얼음이 죽으면?	다이빙	NULL	NULL	NULL	1
DAJK	소가 죽으면?	다이소	NULL	NULL	NULL	1
DAJK	고등학생이 싫어하는 나무는?	야자나무	NULL	NULL	NULL	2
DAJK	사자로 끓인 국은?	동물의왕국	NULL	NULL	NULL	2
DAJK	곰돌이 푸가 넘어지면?	쿵푸	NULL	NULL	NULL	3
DAJK	공이 웃으면?	풋볼	NULL	NULL	NULL	2
DAJK	바나나가 웃으면?	바나나킥	NULL	NULL	NULL	2
DAJK	고양이가 지옥에 가면?	헬로키티	NULL	NULL	NULL	3
DAJK	고추장보다 더 높은 것은?	초고추장	NULL	NULL	NULL	2
DAJK	꽃집 사장이 제일 싫어하는 도시는?	시드니	NULL	NULL	NULL	3
DAJK	김밥이 죽으면 가는 곳은?	김밥천국	NULL	NULL	NULL	2
DAJK	나무에서 나오는 소리는?	목소리	NULL	NULL	NULL	3
DAJK	남자들이 낚시를 가면?	보이스피싱	NULL	NULL	NULL	3
DAJK	노인들이 가장 좋아하는 관광지는?	나이아가라폭포	NULL	나이아가라	NULL	3
DAJK	달걀 장수가 돈을 받고 하는 말은?	에그머니	NULL	NULL	NULL	3
DAJK	할아버지가 가방 좋아하는 돈은?	할머니	NULL	NULL	NULL	2
DAJK	딸기가 직장을 잃으면?	딸기시럽	NULL	NULL	NULL	1
DAJK	딸기가 땡땡이를 치면?	딸기쨈	NULL	딸기잼	NULL	2
DAJK	땅콩의 반댓말은?	하늘콩	NULL	바다콩	NULL	3
DAJK	가장 흥청망청 돈을 쓰는 동물은?	사자	NULL	NULL	NULL	2
DAJK	도둑이 가장 싫어하는 아이스크림은?	누가바	NULL	NULL	NULL	2
DAJK	돌이 9개면?	구석	NULL	NULL	NULL	2
DAJK	맥주가 죽기 전에 남기는 말은?	유언비어	NULL	NULL	NULL	1
DAJK	매번 흑심을 품고 있는 것은?	연필	NULL	NULL	NULL	2
DAJK	하늘을 나는 메기를 뭐라고 할까?	갈매기	NULL	갈메기	NULL	3
DAJK	목수도 고칠 수 없는 집은?	고집	NULL	NULL	NULL	3
DAJK	전화로 세운 건물은?	콜로세움	NULL	NULL	NULL	1
DAJK	너무 질겨서 먹을 수 없는 무는?	고무	NULL	NULL	NULL	2
DAJK	물고기가 얼면?	꽁치	NULL	NULL	NULL	3
DAJK	가장 기억력이 나쁜 물고기는?	가물치	NULL	NULL	NULL	3
DAJK	세상에서 가장 귀한 물은?	보물	NULL	NULL	NULL	2
DAJK	물은 물인데 터지는 물은?	폭발물	NULL	NULL	NULL	3
DAJK	물을 자르면?	수컷	NULL	NULL	NULL	3
DAJK	미국에서 비가 오면? (영어 3글자)	USB	NULL	유에스비	NULL	3
DAJK	미소의 반대말은?	당기소	NULL	NULL	NULL	1
DAJK	세상에서 가장 뜨거운 바다는?	열바다	NULL	NULL	NULL	1
DAJK	바람이 귀엽게 부는 곳은?	분당	NULL	NULL	NULL	2
DAJK	뱀에 불이 붙으면?	뱀파이어	NULL	NULL	NULL	2
